date;heure;latitude;longitude;height;Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio;temps;distance;vitesse;tension;courant;frein;omega;couple;accel;theta
2024/06/13;13:55:03.497;48.664096961;6.155790101;304.4225;2;13;0.1697;0.2016;0.396;-0.0486;0.1093;0.2021;0.5;1.1;6.500000020980835;0.0;0.0;368.9652160855209;-0.417391957239532;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.597;48.664096955;6.155790158;304.4387;2;13;0.1687;0.2014;0.3937;-0.0494;0.1087;0.201;0.6;1.1;6.6000000209808345;0.0;0.0;368.964034918055;-0.41798254097249365;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.697;48.664096959;6.155790162;304.4551;2;13;0.1678;0.2012;0.3914;-0.0501;0.1081;0.2;0.7;1.1;6.700000020980835;0.0;0.0;368.9628537505891;-0.41857312470545527;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.797;48.664096958;6.155790187;304.4703;2;13;0.1668;0.2011;0.3892;-0.0508;0.1076;0.1989;0.8;1.1;6.800000020980835;0.0;0.0;368.9616725831232;-0.41916370843841694;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.897;48.664096963;6.155790159;304.4797;2;13;0.1659;0.2009;0.3869;-0.0515;0.107;0.1979;0.9;1.1;6.900000020980835;0.0;0.0;368.96049141565726;-0.4197542921713786;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:03.997;48.664096962;6.155790183;304.5026;2;14;0.1647;0.2007;0.384;-0.0525;0.106;0.1963;0.0;1.2;7.000000020980835;0.0;0.0;368.95931024819134;-0.4203448759043403;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.097;48.664096941;6.155790267;304.5182;2;14;0.1636;0.2005;0.3811;-0.0535;0.105;0.1948;0.1;1.2;7.100000020980835;0.0;0.0;368.95812908072537;-0.42093545963730195;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.197;48.664096937;6.155790311;304.5425;2;14;0.1625;0.2002;0.3783;-0.0544;0.1041;0.1933;0.2;1.2;7.200000020980835;0.0;0.0;368.95694791325946;-0.4215260433702636;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.297;48.664096941;6.155790291;304.5582;2;14;0.1614;0.2;0.3755;-0.0552;0.1031;0.1918;0.3;1.2;7.300000020980835;0.0;0.0;368.95576674579354;-0.42211662710322523;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.397;48.664096934;6.155790323;304.5774;2;14;0.1603;0.1998;0.3728;-0.0561;0.1021;0.1903;0.4;1.2;7.400000020980835;0.0;0.0;368.9545855783276;-0.4227072108361869;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.497;48.664096926;6.155790331;304.5905;2;14;0.1593;0.1996;0.3701;-0.0569;0.1012;0.1889;0.5;1.2;7.500000020980835;0.0;0.0;368.9534044108617;-0.42329779456914857;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.597;48.664096908;6.155790337;304.6089;2;14;0.1582;0.1994;0.3674;-0.0576;0.1003;0.1875;0.6;1.2;7.6000000209808345;0.0;0.0;368.9522232433958;-0.42388837830211024;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.697;48.664096897;6.155790336;304.6233;2;14;0.1572;0.1993;0.3649;-0.0583;0.0994;0.1861;0.7;1.2;7.700000020980835;0.0;0.0;368.9510420759299;-0.4244789620350719;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.797;48.664096906;6.155790335;304.6394;2;14;0.1562;0.1991;0.3623;-0.059;0.0986;0.1848;0.8;1.2;7.800000020980835;0.0;0.0;368.94986090846396;-0.4250695457680336;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.897;48.664096901;6.155790333;304.6544;2;14;0.1553;0.1989;0.3599;-0.0597;0.0977;0.1835;0.9;1.2;7.900000020980835;0.0;0.0;368.948679740998;-0.4256601295009952;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:04.997;48.664096897;6.155790365;304.6717;2;14;0.1543;0.1987;0.3574;-0.0603;0.0969;0.1822;0.0;1.2;8.000000020980835;0.0;0.0;368.9474985735321;-0.42625071323395686;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.097;48.664096893;6.155790361;304.6846;2;14;0.1534;0.1985;0.355;-0.0609;0.0961;0.1809;0.1;1.3;8.100000020980834;0.0;0.0;368.94631740606616;-0.4268412969669185;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.197;48.664096876;6.155790413;304.6984;2;14;0.1525;0.1983;0.3527;-0.0614;0.0953;0.1797;0.2;1.3;8.200000020980834;0.0;0.0;368.94513623860024;-0.4274318806998802;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.297;48.664096894;6.155790366;304.7068;2;14;0.1516;0.1981;0.3504;-0.062;0.0945;0.1784;0.3;1.3;8.300000020980836;0.0;0.0;368.9439550711343;-0.42802246443284186;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.397;48.664096898;6.155790322;304.7119;2;14;0.1507;0.1979;0.3481;-0.0625;0.0938;0.1772;0.4;1.3;8.400000020980835;0.0;0.0;368.9427739036684;-0.4286130481658035;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.497;48.664096876;6.155790368;304.7165;2;14;0.1498;0.1978;0.3459;-0.063;0.093;0.1761;0.5;1.3;8.500000020980835;0.0;0.0;368.9415927362025;-0.42920363189876515;1.0;0.0;0.0;0.0;1.5707963267948966
2024/06/13;13:55:05.597;48.664096854;6.155790401;304.7229;2;14;0.149;0.1976;0.3437;-0.0635;0.0923;0.1749;0.6;1.3;8.600000020980834;0.0;0.0;368.9404115687365;-0.4297942156317268;1.0;0.0;0.0;0.0;1.5707963267948966
